"Description","start_time","end_time","start_time_buffer","end_time_buffer"
"SAVANNAH DAY EXT","00:00:17:00","00:04:32:05","00:00:17:04","00:04:32:01"
"DOCTORS OFFICE DAY INT","00:04:32:05","00:05:11:24","00:04:32:09","00:05:11:20"
"GREENBOW ALABAMA DAY EXT","00:05:11:24","00:05:18:07","00:05:12:03","00:05:18:03"
"FLASHBACK COUNTRYSIDE DAY EXT","00:05:18:07","00:05:43:01","00:05:18:11","00:05:42:22"
"GREENBOW ALABAMA DAY EXT","00:05:43:01","00:06:25:16","00:05:43:05","00:06:25:12"
"GUMP HOUSE DAY EXT","00:06:25:16","00:07:14:12","00:06:25:20","00:07:14:08"
"PRINCIPALS OFFICE DAY INT","00:07:14:12","00:07:27:19","00:07:14:16","00:07:27:15"
"SCHOOL HALLWAY DAY INT","00:07:27:19","00:07:42:11","00:07:27:23","00:07:42:07"
"PRINCIPALS OFFICE DAY INT","00:07:42:11","00:08:20:04","00:07:42:15","00:08:20:00"
"SCHOOL HALLWAY DAY INT","00:08:20:04","00:08:27:17","00:08:20:08","00:08:27:13"
"PRINCIPALS OFFICE DAY INT","00:08:27:17","00:08:36:22","00:08:27:21","00:08:36:18"
"GUMP HOUSE NIGHT EXT","00:08:36:22","00:09:15:18","00:08:37:01","00:09:15:14"
"GUMP HOUSE / BEDROOM FORREST NIGHT INT","00:09:15:18","00:09:46:12","00:09:15:22","00:09:46:08"
"GUMP HOUSE DAY EXT","00:09:46:12","00:09:54:21","00:09:46:16","00:09:54:17"
"GUMP HOUSE DAY INT","00:09:54:21","00:11:09:14","00:09:55:00","00:11:09:10"
"GREENBOW ALABAMA NIGHT EXT","00:11:09:14","00:11:42:14","00:11:09:18","00:11:42:10"
"SAVANNAH DAY EXT","00:11:42:14","00:11:52:17","00:11:42:18","00:11:52:13"
"SCHOOL BUS STOP DAY EXT","00:11:52:17","00:12:32:06","00:11:52:21","00:12:32:02"
"SCHOOL BUS DAY INT","00:12:32:06","00:12:58:13","00:12:32:10","00:12:58:09"
"SAVANNAH DAY EXT","00:12:58:13","00:13:11:01","00:12:58:17","00:13:10:22"
"SCHOOL BUS DAY INT","00:13:11:01","00:14:07:08","00:13:11:05","00:14:07:04"
"TREE ON A FIELD DAY EXT","00:14:07:08","00:14:25:05","00:14:07:12","00:14:25:01"
"TREE ON A FIELD NIGHT EXT","00:14:25:05","00:14:46:02","00:14:25:09","00:14:45:23"
"SAVANNAH DAY EXT","00:14:46:02","00:14:59:17","00:14:46:06","00:14:59:13"
"ALLEY DAY EXT","00:14:59:17","00:16:19:24","00:14:59:21","00:16:19:20"
"SAVANNAH DAY EXT","00:16:19:24","00:16:31:05","00:16:20:03","00:16:31:01"
"ALLEY DAY EXT","00:16:31:05","00:16:48:23","00:16:31:09","00:16:48:19"
"ROAD IN GREENBOW DAY EXT","00:16:48:23","00:16:58:17","00:16:49:02","00:16:58:13"
"GREENBOW ALABAMA DAY EXT","00:16:58:17","00:17:06:18","00:16:58:21","00:17:06:14"
"OUTSIDE JENNY'S HOUSE DAY EXT","00:17:06:18","00:18:30:06","00:17:06:22","00:18:30:02"
"GRANDMA'S TRAILER DAY EXT","00:18:30:06","00:18:43:20","00:18:30:10","00:18:43:16"
"GUMP HOUSE NIGHT EXT","00:18:43:20","00:18:55:18","00:18:43:24","00:18:55:14"
"GRUMP HOUSE / BEDROOM FORREST NIGHT INT","00:18:55:18","00:19:04:08","00:18:55:22","00:19:04:04"
"ALLEY DAY EXT","00:19:04:08","00:19:31:14","00:19:04:12","00:19:31:10"
"BULLY TRUCK DAY INT","00:19:31:14","00:19:32:23","00:19:31:18","00:19:32:19"
"ALLEY DAY EXT","00:19:32:23","00:19:53:23","00:19:33:02","00:19:53:19"
"SAVANNAH DAY EXT","00:19:53:23","00:20:01:18","00:19:54:02","00:20:01:14"
"FOOTBALL FIELD DAY EXT","00:20:01:18","00:20:40:24","00:20:01:22","00:20:40:20"
"FOOTBALL STADIUM DAY EXT","00:20:40:24","00:21:32:16","00:20:41:03","00:21:32:12"
"GIRL'S DORM NIGHT EXT","00:21:32:16","00:23:04:22","00:21:32:20","00:23:04:18"
"GIRL'S DORM NIGHT INT","00:23:04:22","00:23:17:20","00:23:05:01","00:23:17:16"
"GIRL'S DORM / JENNY'S ROOM NIGHT INT","00:23:17:20","00:25:25:09","00:23:17:24","00:25:25:05"
"FOOTBALL STADIUM DAY EXT","00:25:25:09","00:25:45:07","00:25:25:13","00:25:45:03"
"INFRONT OF THE WHITE HOUSE (BROADCAST) DAY EXT","00:25:45:07","00:25:49:17","00:25:45:11","00:25:49:13"
"WHITE HOUSE (BROADCAST) DAY INT","00:25:49:17","00:25:56:12","00:25:49:21","00:25:56:08"
"WHITE HOUSE DAY INT","00:25:56:12","00:26:20:03","00:25:56:16","00:26:19:24"
"WHITE HOUSE (BROADCAST) DAY INT","00:26:20:03","00:26:39:07","00:26:20:07","00:26:39:03"
"WHITE HOUSE / BATH ROOM DAY INT","00:26:39:07","00:26:59:04","00:26:39:11","00:26:59:00"
"STOCK FOOTAGE OF JOHN F. KENNDY DAY EXT","00:26:59:04","00:27:03:09","00:26:59:08","00:27:03:05"
"STOCK FOOTAGE OF ROBERT KENNDY DAY INT","00:27:03:09","00:27:08:02","00:27:03:13","00:27:07:23"
"SAVANNAH DAY EXT","00:27:08:02","00:27:14:05","00:27:08:06","00:27:14:01"
"COLLEGE GRADUATION DAY EXT","00:27:14:05","00:27:41:06","00:27:14:09","00:27:41:02"
"ARMY BUS DAY INT","00:27:41:06","00:28:55:13","00:27:41:10","00:28:55:09"
"KITCHEN WITH BUBBAS MOTHER DAY INT","00:28:55:13","00:28:59:15","00:28:55:17","00:28:59:11"
"KITCHEN WITH BUBBAS GRANDMOTHER DAY INT","00:28:59:15","00:29:04:22","00:28:59:19","00:29:04:18"
"ARMY BUS DAY INT","00:29:04:22","00:29:19:05","00:29:05:01","00:29:19:01"
"BARRACKS DAY INT","00:29:19:05","00:29:56:12","00:29:19:09","00:29:56:08"
"BARRACKS DAY INT","00:29:56:12","00:30:45:15","00:29:56:16","00:30:45:11"
"BARRACKS DAY INT","00:30:45:15","00:30:56:11","00:30:45:19","00:30:56:07"
"BARRACKS DAY INT","00:30:56:11","00:31:11:22","00:30:56:15","00:31:11:18"
"BARRACKS NIGHT INT","00:31:11:22","00:31:55:22","00:31:12:01","00:31:55:18"
"CLUB IN MEMPHIS NIGHT INT","00:31:55:22","00:33:49:00","00:31:56:01","00:33:48:21"
"MEMPHIS BRIDGE NIGHT EXT","00:33:49:00","00:35:50:16","00:33:49:04","00:35:50:12"
"VIETNAM MILITARY BASE DAY EXT","00:35:50:16","00:38:29:01","00:35:50:20","00:38:28:22"
"REVOLUTIONARY WAR DAY EXT","00:38:29:01","00:38:30:13","00:38:29:05","00:38:30:09"
"AMERICAN CIVIL WAR DAY EXT","00:38:30:13","00:38:32:03","00:38:30:17","00:38:31:24"
"WORLD WAR 1 DAY EXT","00:38:32:03","00:38:33:07","00:38:32:07","00:38:33:03"
"WORLD WAR 2 DAY EXT","00:38:33:07","00:38:35:09","00:38:33:11","00:38:35:05"
"VIETNAM MILITARY BASE DAY EXT","00:38:35:09","00:39:19:15","00:38:35:13","00:39:19:11"
"VIETNAM RICE FIELD DAY EXT","00:39:19:15","00:39:35:11","00:39:19:19","00:39:35:07"
"VIETNAM ROAD DAY EXT","00:39:35:11","00:40:21:06","00:39:35:15","00:40:21:02"
"VIETNAM FIELD DAY EXT","00:40:21:06","00:41:28:16","00:40:21:10","00:41:28:12"
"VIETNAM RICE FIELD DAY EXT","00:41:28:16","00:41:39:06","00:41:28:20","00:41:39:02"
"VIETNAM JUNGLE DAY EXT","00:41:39:06","00:41:45:05","00:41:39:10","00:41:45:01"
"VIETNAM JUNGLE DAY EXT","00:41:45:05","00:41:49:00","00:41:45:09","00:41:48:21"
"VIETNAM JUNGLE DAY EXT","00:41:49:00","00:41:51:18","00:41:49:04","00:41:51:14"
"VIETNAM JUNGLE DAY EXT","00:41:51:18","00:41:56:19","00:41:51:22","00:41:56:15"
"VIETNAM CAMP NIGHT EXT","00:41:56:19","00:43:03:01","00:41:56:23","00:43:02:22"
"VIETNAM CAMP NIGHT EXT","00:43:03:01","00:43:20:22","00:43:03:05","00:43:20:18"
"GRANDMA'S TRAILER DAY EXT","00:43:20:22","00:43:31:15","00:43:21:01","00:43:31:11"
"VIETNAM CAMP NIGHT EXT","00:43:31:15","00:43:38:20","00:43:31:19","00:43:38:16"
"VIETNAM JUNGLE DAY EXT","00:43:38:20","00:50:59:21","00:43:38:24","00:50:59:17"
"SAVANNAH DAY EXT","00:50:59:21","00:51:33:24","00:51:00:00","00:51:33:20"
"MILITARY HOSPITAL DAY INT","00:51:33:24","00:52:51:07","00:51:34:03","00:52:51:03"
"MILITARY HOSPITAL DAY INT","00:52:51:07","00:54:11:22","00:52:51:11","00:54:11:18"
"MILITARY HOSPITAL DAY INT","00:54:11:22","00:54:27:21","00:54:12:01","00:54:27:17"
"MILITARY HOSPITAL DAY INT","00:54:27:21","00:54:54:02","00:54:28:00","00:54:53:23"
"PURPLE HEART (BROADCAST) DAY INT","00:54:54:02","00:54:57:16","00:54:54:06","00:54:57:12"
"BARBERSHOP DAY INT","00:54:57:16","00:55:05:21","00:54:57:20","00:55:05:17"
"PURPLE HEART (BROADCAST) DAY INT","00:55:05:21","00:55:23:16","00:55:06:00","00:55:23:12"
"BARBERSHOP DAY INT","00:55:23:16","00:55:28:19","00:55:23:20","00:55:28:15"
"PURPLE HEART (BROADCAST) DAY INT","00:55:28:19","00:55:34:18","00:55:28:23","00:55:34:14"
"WASHINGTON D.C. DAY EXT","00:55:34:18","00:59:38:12","00:55:34:22","00:59:38:08"
"WASHINGTON D.C. NIGHT EXT","00:59:38:12","00:59:47:04","00:59:38:16","00:59:47:00"
"BLACK PANTHER HQ NIGHT INT","00:59:47:04","01:01:40:17","00:59:47:08","01:01:40:13"
"WASHINGTON D.C. NIGHT EXT","01:01:40:17","01:02:32:04","01:01:40:21","01:02:32:00"
"FLASHBACK HIGHWAY DAY EXT","01:02:32:04","01:02:36:20","01:02:32:08","01:02:36:16"
"CAMPFIRE NIGHT EXT","01:02:36:20","01:02:44:01","01:02:36:24","01:02:43:22"
"HOLLYWOOD DAY EXT","01:02:44:01","01:02:57:20","01:02:44:05","01:02:57:16"
"WASHINGTON D.C. DAWN EXT","01:02:57:20","01:05:11:22","01:02:57:24","01:05:11:18"
"VETERANS HOSPITAL DAY INT","01:05:11:22","01:05:38:12","01:05:12:01","01:05:38:08"
"SAVANNAH DAY EXT","01:05:38:12","01:05:41:13","01:05:38:16","01:05:41:09"
"PING PONG TOURNAMENT IN CHINA DAY INT","01:05:41:13","01:05:58:03","01:05:41:17","01:05:57:24"
"SAVANNAH DAY EXT","01:05:58:03","01:06:02:24","01:05:58:07","01:06:02:20"
"TV SHOW DAY INT","01:06:02:24","01:07:00:17","01:06:03:03","01:07:00:13"
"OUTSIDE THE TV STUDIO DAY EXT","01:07:00:17","01:07:58:12","01:07:00:21","01:07:58:08"
"NEW YORK NIGHT EXT","01:07:58:12","01:08:32:01","01:07:58:16","01:08:31:22"
"DAN'S HOTEL ROOM NIGHT INT","01:08:32:01","01:10:13:04","01:08:32:05","01:10:13:00"
"NEW YORK BAR NIGHT INT","01:10:13:04","01:11:50:02","01:10:13:08","01:11:49:23"
"APPARTMENT IN CALIFORNIA NIGHT INT","01:11:50:02","01:12:22:22","01:11:50:06","01:12:22:18"
"NEW YORK BAR NIGHT INT","01:12:22:22","01:12:54:08","01:12:23:01","01:12:54:04"
"WHITE HOUSE DAY EXT","01:12:54:08","01:12:58:23","01:12:54:12","01:12:58:19"
"SAVANNAH DAY EXT","01:12:58:23","01:13:11:05","01:12:59:02","01:13:11:01"
"WHITE HOUSE DAY INT","01:13:11:05","01:13:28:15","01:13:11:09","01:13:28:11"
"WATERGATE HOTEL NIGHT INT","01:13:28:15","01:13:51:12","01:13:28:19","01:13:51:08"
"GYMNASIUM DAY INT","01:13:51:12","01:14:48:00","01:13:51:16","01:14:47:21"
"GUMP HOUSE DAY INT","01:14:48:00","01:15:44:10","01:14:48:04","01:15:44:06"
"BAYOU LA BATRE / BUBBA'S HOME DAY EXT","01:15:44:10","01:16:03:12","01:15:44:14","01:16:03:08"
"BUBBA'S GRAVE DAY EXT","01:16:03:12","01:16:28:17","01:16:03:16","01:16:28:13"
"BAYOU LA BATRE DAY EXT","01:16:28:17","01:16:44:19","01:16:28:21","01:16:44:15"
"BUBBA'S GRAVE DAY EXT","01:16:44:19","01:17:09:03","01:16:44:23","01:17:08:24"
"BAYOU LA BATRE / ON THE BOAT DAY EXT","01:17:09:03","01:17:38:24","01:17:09:07","01:17:38:20"
"BAYOU LA BATRE DAY EXT","01:17:38:24","01:18:09:03","01:17:39:03","01:18:08:24"
"DISCO NIGHT INT","01:18:09:03","01:18:28:11","01:18:09:07","01:18:28:07"
"BAYOU LA BATRE DAY EXT","01:18:28:11","01:18:33:22","01:18:28:15","01:18:33:18"
"APARTMENT / BEDROOM NIGHT INT","01:18:33:22","01:18:57:07","01:18:34:01","01:18:57:03"
"APARTMENT / BATHROOM NIGHT INT","01:18:57:07","01:19:02:09","01:18:57:11","01:19:02:05"
"APARTMENT / BALCONY NIGHT EXT","01:19:02:09","01:20:00:17","01:19:02:13","01:20:00:13"
"BAYOU LA BATRE / ON THE BOAT NIGHT EXT","01:20:00:17","01:20:18:21","01:20:00:21","01:20:18:17"
"BAYOU LA BATRE DAY EXT","01:20:18:21","01:21:57:00","01:20:19:00","01:21:56:21"
"BAYOU LA BATRE / ON THE BOAT DAY EXT","01:21:57:00","01:22:53:15","01:21:57:04","01:22:53:11"
"CHURCH DAY INT","01:22:53:15","01:23:09:05","01:22:53:19","01:23:09:01"
"BAYOU LA BATRE / ON THE BOAT DAY EXT","01:23:09:05","01:23:34:12","01:23:09:09","01:23:34:08"
"BAYOU LA BATRE / ON THE BOAT NIGHT EXT","01:23:34:12","01:24:24:15","01:23:34:16","01:24:24:11"
"GUMP HOUSE DAY INT","01:24:24:15","01:24:26:16","01:24:24:19","01:24:26:12"
"BAYOU LA BATRE DAY EXT","01:24:26:16","01:24:34:05","01:24:26:20","01:24:34:01"
"GUMP HOUSE DAY INT","01:24:34:05","01:24:50:03","01:24:34:09","01:24:49:24"
"BAYOU LA BATRE / ON THE BOAT DAY EXT","01:24:50:03","01:24:59:18","01:24:50:07","01:24:59:14"
"SAVANNAH DAY EXT","01:24:59:18","01:26:06:20","01:24:59:22","01:26:06:16"
"BAYOU LA BATRE / ON THE BOAT DAY EXT","01:26:06:20","01:26:47:24","01:26:06:24","01:26:47:20"
"SAVANNAH DAY EXT","01:26:47:24","01:27:17:22","01:26:48:03","01:27:17:18"
"FOOTBALL FIELD DAY EXT","01:27:17:22","01:27:22:12","01:27:18:01","01:27:22:08"
"GUMP MAILBOXES DAY EXT","01:27:22:12","01:27:33:04","01:27:22:16","01:27:33:00"
"SAVANNAH DAY EXT","01:27:33:04","01:27:37:11","01:27:33:08","01:27:37:07"
"CHURCH DAY INT","01:27:37:11","01:27:43:07","01:27:37:15","01:27:43:03"
"CHURCH DAY EXT","01:27:43:07","01:27:52:16","01:27:43:11","01:27:52:12"
"BAYOU LA BATRE / HOSPITAL DAY EXT","01:27:52:16","01:27:58:23","01:27:52:20","01:27:58:19"
"BAYOU LA BATRE / BUBBA'S HOME DAY EXT","01:27:58:23","01:28:10:13","01:27:59:02","01:28:10:09"
"SAVANNAH DAY EXT","01:28:10:13","01:28:12:05","01:28:10:17","01:28:12:01"
"FINE HOUSE DAY INT","01:28:12:05","01:28:18:15","01:28:12:09","01:28:18:11"
"FOOTBALL FIELD DAY EXT","01:28:18:15","01:28:27:08","01:28:18:19","01:28:27:04"
"GUMP HOUSE / BALCONY NIGHT EXT","01:28:27:08","01:29:09:06","01:28:27:12","01:29:09:02"
"GUMP HOUSE DAY EXT","01:29:09:06","01:30:30:01","01:29:09:10","01:30:29:22"
"GUMP HOUSE NIGHT INT","01:30:30:01","01:30:45:24","01:30:30:05","01:30:45:20"
"FIELD DAY EXT","01:30:45:24","01:31:03:21","01:30:46:03","01:31:03:17"
"TREE ON A FIELD DAY EXT","01:31:03:21","01:31:14:02","01:31:04:00","01:31:13:23"
"GUMP HOUSE DAY INT","01:31:14:02","01:31:21:12","01:31:14:06","01:31:21:08"
"GUMP HOUSE DAY EXT","01:31:21:12","01:31:28:19","01:31:21:16","01:31:28:15"
"GUMP HOUSE NIGHT EXT","01:31:28:19","01:31:48:03","01:31:28:23","01:31:47:24"
"RIVERSIDE NIGHT DAY","01:31:48:03","01:32:00:14","01:31:48:07","01:32:00:10"
"GUMP HOUSE NIGHT INT","01:32:00:14","01:33:25:02","01:32:00:18","01:33:24:23"
"GUMP HOUSE NIGHT EXT","01:33:25:02","01:33:29:02","01:33:25:06","01:33:28:23"
"GUMP HOUSE NIGHT EXT","01:33:29:02","01:34:22:17","01:33:29:06","01:34:22:13"
"GUMP HOUSE DAY EXT","01:34:22:17","01:34:49:11","01:34:22:21","01:34:49:07"
"GUMP HOUSE DAY INT","01:34:49:11","01:35:37:01","01:34:49:15","01:35:36:22"
"GUMP HOUSE PORCH DAY EXT","01:35:37:01","01:36:25:24","01:35:37:05","01:36:25:20"
"BARBERSHOP DAY INT","01:36:25:24","01:36:30:14","01:36:26:03","01:36:30:10"
"ROAD IN ALABMA DAY EXT","01:36:30:14","01:36:44:12","01:36:30:18","01:36:44:08"
"SAVANNAH DAY EXT","01:36:44:12","01:36:50:21","01:36:44:16","01:36:50:17"
"PIER DAY EXT","01:36:50:21","01:37:21:16","01:36:51:00","01:37:21:12"
"SAVANNAH DAY EXT","01:37:21:16","01:37:33:15","01:37:21:20","01:37:33:11"
"HIGHWAY DAY EXT","01:37:33:15","01:38:20:10","01:37:33:19","01:38:20:06"
"BARBERSHOP DAY EXT","01:38:20:10","01:38:28:23","01:38:20:14","01:38:28:19"
"CAFE DAY INT","01:38:28:23","01:38:42:09","01:38:29:02","01:38:42:05"
"BRIDGE AT MISSISIPI RIVER DAY EXT","01:38:42:09","01:38:59:00","01:38:42:13","01:38:58:21"
"SAVANNAH DAY EXT","01:38:59:00","01:39:00:16","01:38:59:04","01:39:00:12"
"STREET WITH HOUSES IN THE BACKGROUND DAY EXT","01:39:00:16","01:39:05:03","01:39:00:20","01:39:04:24"
"SAVANNAH DAY EXT","01:39:05:03","01:39:10:12","01:39:05:07","01:39:10:08"
"STREET WITH HOUSES IN THE BACKGROUND DAY EXT","01:39:10:12","01:39:33:10","01:39:10:16","01:39:33:06"
