"whichScene","hierarchy","duration","place","time","location","start_time","end_time","vid_duration","howManyShots","arousal_mean","number_people","duration_ratio","start_time_buffer","end_time_buffer","vid_duration_buffer","frame_position","Jumps","characterChanges","start_seconds","end_seconds","speech","word_count","bright_mean","bright_sd","normdiff"
92,"Scene",4,"PURPLE HEART (BROADCAST)","DAY","INT","00:55:28:21","00:55:34:20",149,3,"0.36",2,"12.41666667","00:55:29:00","00:55:34:16",141,83225,NA,0,3329,3334.64,"laughing hum Donnerwetter",3,54.4166666666667,14.1060646746731,0.314394
52,"Scene",4,"COLLEGE GRADUATION","DAY","EXT","00:27:14:06","00:27:41:07",676,4,"-0.056666667",3,"56.33333333","00:27:14:10","00:27:41:03",668,40860,-42365,1,1634.4,1661.12,"Forrest Gump Wer hätte das gedacht? Da hab ich nur 5 Jahre Football gespielt und kriege einen College Abschluss. Ich gratuliere Ihnen. Mein Sohn Mama war so stolz. Na, komm! Gib mir das bitte, ja? Haben Sie schon über ihre Zukunft nachgedacht? Gedanken? Hallo Ich bin Forrest.",47,57.7083333333333,11.1685604454756,0.425505
164,"Scene",4,"GUMP HOUSE","DAY","EXT","01:34:22:21","01:34:49:15",669,2,"-0.56",1,"55.75","01:34:23:00","01:34:49:11",661,141575,100715,0,5663,5689.44,"Wovor laufen sie denn weg? Ich lauf doch gar nich.",10,50.7291666666667,8.23135519421519,0.363636454545455
7,"Scene",4,"PRINCIPALS OFFICE","DAY","INT","00:07:14:13","00:07:27:20",332,3,"-0.89",1,"27.66666667","00:07:14:17","00:07:27:16",324,10867,-130708,0,434.68,447.64,"...anders. Misses Gump Sein Intelligenzquotient beträgt 75. Nun ja Kein Mensch ist wie der andere. Mr. Hancock huuuh",18,56.1875,2.95443618679067,0.126262727272727
61,"Scene",4,"BARRACKS","NIGHT","INT","00:31:11:24","00:31:55:24",1100,4,"-0.213333333",3,"91.66666667","00:31:12:03","00:31:55:20",1092,46803,35936,1,1872.12,1915.8,"Die Nächte in der Army, sind sehr, sehr einsam. Wir lagen in unseren Feldbetten. Hey, Gump Sie wurde jedenfalls vom College geworfen. My baby does the hanky-panky.",27,36.6458333333333,9.18896221099812,0.390151545454545
27,"Scene",4,"ALLEY","DAY","EXT","00:16:31:06","00:16:48:24",443,2,"0.555",2,"36.91666667","00:16:31:10","00:16:48:20",435,24785,-22018,0,991.4,1008.8,"Er haut ab. So ein Mist",6,89.2083333333333,11.3951910377965,0.374999818181818
184,"Scene",4,"GUMP HOUSE","DAY","INT","01:42:14:22","01:42:33:22",475,2,"-0.33",1,"39.58333333","01:42:15:01","01:42:33:18",467,153376,128591,0,6135.04,6153.72,"Und dann... Fünf oder sechs Schüsse wurden von dem Attentäter abgefeuert. Der Präsident wurde in die Brust getroffen. Ich hab die Post geholt. Und dann, eines Tages, aus heiterem Himmel bekam ich von Jenny einen Brief.",36,80.5625,15.5165326052862,0.410353454545455
138,"Scene",4,"BAYOU LA BATRE / ON THE BOAT","DAY","EXT","01:24:50:06","01:24:59:21",240,3,"0.335",2,"20","01:24:50:10","01:24:59:17",232,127260,-26116,0,5090.4,5099.68,"Und da die Leute ja immernoch Shrimps für Cocktails und Barbecues und sowas brauchten... ",14,80.2708333333333,13.2225093604761,0.422979727272727
24,"Scene",4,"SAVANNAH","DAY","EXT","00:14:46:03","00:14:59:20",342,2,"-0.725",1,"28.5","00:14:46:07","00:14:59:16",334,22157,-105103,0,886.28,899.64," Meine Mama sagte immer: Wunder passieren an jedem Tag.",10,65.2083333333333,7.04759253973019,0.0972223636363636
6,"Scene",4,"GUMP HOUSE","DAY","EXT","00:06:25:17","00:07:14:13",1221,3,"-0.6675",2,"101.75","00:06:25:21","00:07:14:09",1213,9646,-12511,0,385.84,434.36,"Wir wohnten in der Nähe von der Straße Nummer 17. Es gab nur Mama und mich und wir hatten eine Menge leere Zimmer. Mama war eine richtig schlaue Lady. Forrest! Du bist nicht anders als die anderen. Du bist genau so wie alle anderen Menschen auch. Du bist nicht anders als die anderen.",53,66.4166666666667,12.1516615649004,0.470959545454545
